DEBUG   | logger_setup.py | ipcoal v.0.4.dev1 logging enabled
INFO    | mcmc.py      | CMD: ms-smc-mcmc --log-level DEBUG --mcmc-nsamples 10000 --mcmc-print-interval 50 --mcmc-sample-interval 5 --mcmc-burnin 200 --recomb 2e-9 --name combined-123-100loci-1e5len-gamma --data-type combine --log-file --nsites 1e5 --threads 70 --seed 123 --nloci 100 --prior g 3 100_000 --params 100_000 200_000 300_000 --mcmc-jumpsize 10000 20000 30000
INFO    | mcmc.py      | true simulated parameters ([100000. 200000. 300000.]).
INFO    | mcmc.py      | simulating 100 tree sequences for 1e+05 sites w/ recomb=2e-09.
INFO    | mcmc.py      | loading genealogy embedding table for [543, 545, 518, 517, 525, 517, 478, 541, 531, 539, 452, 517, 549, 468, 548, 469, 480, 492, 484, 460, 526, 446, 488, 496, 519, 497, 547, 408, 587, 454, 561, 518, 499, 469, 515, 504, 510, 566, 564, 490, 482, 484, 471, 526, 487, 517, 502, 557, 482, 568, 484, 531, 487, 534, 434, 467, 496, 521, 485, 526, 547, 519, 495, 416, 466, 591, 615, 476, 475, 536, 518, 544, 518, 477, 553, 594, 541, 478, 595, 477, 531, 534, 410, 491, 438, 499, 516, 545, 516, 444, 527, 555, 467, 524, 505, 456, 534, 626, 539, 560] genealogies.
DEBUG   | logger_setup.py | ipcoal v.0.4.dev1 logging enabled
INFO    | mcmc.py      | CMD: ms-smc-mcmc --log-level DEBUG --mcmc-nsamples 10000 --mcmc-print-interval 50 --mcmc-sample-interval 5 --mcmc-burnin 200 --recomb 2e-9 --name combined-123-100loci-1e5len-gamma --data-type combined --log-file --nsites 1e5 --threads 70 --seed 123 --nloci 100 --prior g 3 100_000 --params 100_000 200_000 300_000 --mcmc-jumpsize 10000 20000 30000
INFO    | mcmc.py      | true simulated parameters ([100000. 200000. 300000.]).
INFO    | mcmc.py      | simulating 100 tree sequences for 1e+05 sites w/ recomb=2e-09.
INFO    | mcmc.py      | loading genealogy embedding table for [543, 545, 518, 517, 525, 517, 478, 541, 531, 539, 452, 517, 549, 468, 548, 469, 480, 492, 484, 460, 526, 446, 488, 496, 519, 497, 547, 408, 587, 454, 561, 518, 499, 469, 515, 504, 510, 566, 564, 490, 482, 484, 471, 526, 487, 517, 502, 557, 482, 568, 484, 531, 487, 534, 434, 467, 496, 521, 485, 526, 547, 519, 495, 416, 466, 591, 615, 476, 475, 536, 518, 544, 518, 477, 553, 594, 541, 478, 595, 477, 531, 534, 410, 491, 438, 499, 516, 545, 516, 444, 527, 555, 467, 524, 505, 456, 534, 626, 539, 560] genealogies.
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
INFO    | mcmc.py      | ([100000. 200000. 300000.]) loglik 456223.217.
INFO    | mcmc.py      | starting MCMC sampler for 10000 samples.
INFO    | mcmc.py      | iter	sample	loglik   	params               	accept	runtime	cat
DEBUG   | mcmc.py      | loglik=457747.0/457691.3, aratio=0.00, params=[490108 492644 538637], False
